[DEBUG] 2020-10-07 23:55:08.812 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-07 23:55:08.832 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-07 23:55:08.841 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-07 23:55:09.060 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-07 23:55:09.072 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-07 23:55:09.608 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-07 23:55:09.610 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-07 23:55:09.631 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-07 23:55:10.474 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-07 23:55:10.512 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-07 23:55:10.513 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-07 23:55:10.528 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-07 23:55:10.576 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3605c4d3
[DEBUG] 2020-10-07 23:55:10.577 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3605c4d3
[DEBUG] 2020-10-07 23:55:10.577 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3605c4d3
[DEBUG] 2020-10-07 23:55:10.577 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6ad11a56
[DEBUG] 2020-10-07 23:55:10.578 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7c8326a4
[DEBUG] 2020-10-07 23:55:10.578 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@c9d82f9
[DEBUG] 2020-10-07 23:55:10.579 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@45f24169
[DEBUG] 2020-10-07 23:55:10.579 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@45f24169
[DEBUG] 2020-10-07 23:55:10.580 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@45f24169
[DEBUG] 2020-10-07 23:55:10.581 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@13d186db
