[DEBUG] 2020-10-07 23:39:44.940 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-07 23:39:44.966 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-07 23:39:44.980 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-07 23:39:45.294 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-07 23:39:45.303 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-07 23:39:46.061 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-07 23:39:46.064 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-07 23:39:46.093 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-07 23:39:47.217 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-07 23:39:47.309 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-07 23:39:47.312 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-07 23:39:47.403 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-07 23:39:47.540 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@585c13de
[DEBUG] 2020-10-07 23:39:47.543 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@585c13de
[DEBUG] 2020-10-07 23:39:47.543 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@585c13de
[DEBUG] 2020-10-07 23:39:47.544 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@522b2631
[DEBUG] 2020-10-07 23:39:47.544 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@77128dab
[DEBUG] 2020-10-07 23:39:47.550 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6f012914
[DEBUG] 2020-10-07 23:39:47.551 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6ad5923a
[DEBUG] 2020-10-07 23:39:47.552 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6ad5923a
[DEBUG] 2020-10-07 23:39:47.552 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6ad5923a
[DEBUG] 2020-10-07 23:39:47.553 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6f6962ba
[DEBUG] 2020-10-07 23:39:47.557 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6f6962ba
[DEBUG] 2020-10-07 23:39:47.557 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6f6962ba
[DEBUG] 2020-10-07 23:39:47.558 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3fbfa96
[DEBUG] 2020-10-07 23:39:47.559 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3fbfa96
